method,ALE_m,P50_m,P90_m
CNNLoc,2.902692,2.441258,3.748277
CNNLoc,2.058193,1.647662,2.712983
DANN,3.678304,3.498576,6.467428
DANN,3.688345,3.525137,6.443070
DANN,3.228357,2.960182,5.742495
DANN,3.355170,3.164655,5.955616
DANN,3.644332,3.452535,6.407446
DANN,3.644332,3.452532,6.407446
DANN,3.834625,3.624073,6.776527
DANN,4.094704,3.952278,6.956533
DANN,4.094704,3.952278,6.956533
DANN,3.663286,3.474453,6.397009
DANN,2.669994,2.412427,4.814676
DANN,2.536830,2.299767,4.621163
DANN,2.442084,2.177159,4.457366
iToLoc,2.655091,2.395507,3.418388
iToLoc,2.655091,2.395507,4.747897
iToLoc,2.571163,2.357177,4.720045
iToLoc,2.571163,2.357177,4.720045
iToLoc,2.571163,2.357177,4.720045
iToLoc,2.571163,2.357177,4.720045
iToLoc,2.571163,2.357177,4.720045
iToLoc,2.571163,2.357177,4.720045
iToLoc,2.460593,2.166648,4.560855
iToLoc,2.291102,2.020475,4.420963
CNNLoc,2.058193,1.647662,3.806545
DANN,2.442084,2.177159,4.457366
iToLoc,2.291102,2.020475,4.420963
HGTLoc,1.932521,1.882494,2.717251,3.605560
HGTLoc,1.932521,1.882498,2.717252,3.605560
HGTLoc,1.646722,1.442534,2.181889,2.955398
HGTLoc,1.932521,1.882494,2.717251,3.605560
