ID,SSID_ID,FREQUENCY,STABLE
WAP_001,1,2452,1
WAP_002,1,5180,1
WAP_003,2,2432,0
WAP_004,3,2462,0
WAP_005,4,2462,1
WAP_006,5,5220,1
WAP_007,6,5180,1
WAP_008,6,5220,1
WAP_009,7,2412,1
WAP_010,6,5220,1
WAP_011,6,5180,1
WAP_012,6,5180,1
WAP_013,6,5220,1
WAP_014,6,5220,1
WAP_015,6,5220,1
WAP_016,6,5220,1
WAP_017,6,5180,1
WAP_018,6,5180,1
WAP_019,6,5180,1
WAP_020,6,5180,1
WAP_021,6,5240,1
WAP_022,6,5180,1
WAP_023,7,2437,1
WAP_024,7,2437,1
WAP_025,7,2412,1
WAP_026,7,2437,1
WAP_027,7,2462,1
WAP_028,7,2412,1
WAP_029,7,2412,1
WAP_030,7,2462,1
WAP_031,7,2437,1
WAP_032,7,2437,1
WAP_033,7,2437,1
WAP_034,7,2462,1
WAP_035,7,2412,1
WAP_036,5,5500,1
WAP_037,4,2417,1
WAP_038,8,2412,1
WAP_039,9,2412,1
WAP_040,10,2412,1
WAP_041,8,5300,1
WAP_042,9,5300,1
WAP_043,10,5300,1
WAP_044,8,2412,1
WAP_045,9,2412,1
WAP_046,10,2412,1
WAP_047,8,5260,1
WAP_048,9,5260,1
WAP_049,10,5260,1
WAP_050,8,2462,1
WAP_051,9,2462,1
WAP_052,10,2462,1
WAP_053,8,5520,1
WAP_054,9,5520,1
WAP_055,10,5520,1
WAP_056,8,2437,1
WAP_057,9,2437,1
WAP_058,10,2437,1
WAP_059,8,5660,1
WAP_060,9,5660,1
WAP_061,10,5660,1
WAP_062,8,2462,1
WAP_063,9,2462,1
WAP_064,10,2462,1
WAP_065,8,5300,1
WAP_066,9,5300,1
WAP_067,10,5300,1
WAP_068,8,2437,1
WAP_069,9,2437,1
WAP_070,10,2437,1
WAP_071,8,5240,1
WAP_072,9,5240,1
WAP_073,10,5240,1
WAP_074,8,2412,1
WAP_075,9,2412,1
WAP_076,10,2412,1
WAP_077,8,5280,1
WAP_078,9,5280,1
WAP_079,10,5280,1
WAP_080,8,2462,1
WAP_081,9,2462,1
WAP_082,10,2462,1
WAP_083,8,5540,1
WAP_084,9,5540,1
WAP_085,10,5540,1
WAP_086,8,2437,1
WAP_087,9,2437,1
WAP_088,10,2437,1
WAP_089,8,5500,1
WAP_090,9,5500,1
WAP_091,10,5500,1
WAP_092,8,2462,1
WAP_093,9,2462,1
WAP_094,10,2462,1
WAP_095,8,5660,1
WAP_096,9,5660,1
WAP_097,10,5660,1
WAP_098,8,2437,1
WAP_099,9,2437,1
WAP_100,10,2437,1
WAP_101,8,5600,1
WAP_102,9,5600,1
WAP_103,10,5600,1
WAP_104,8,2412,1
WAP_105,9,2412,1
WAP_106,10,2412,1
WAP_107,8,5600,1
WAP_108,9,5600,1
WAP_109,10,5600,1
WAP_110,11,2462,0
WAP_111,12,2462,0
WAP_112,13,2412,0
WAP_113,14,2412,0
WAP_114,15,2462,0
WAP_115,4,2412,1
WAP_116,5,5220,1
WAP_117,16,2437,0
WAP_118,9,2462,1
WAP_119,10,2462,1
WAP_120,8,2437,1
WAP_121,9,2437,1
WAP_122,10,2437,1
WAP_123,8,5660,1
WAP_124,9,5660,1
WAP_125,10,5660,1
WAP_126,9,2462,1
WAP_127,10,2462,1
WAP_128,8,2412,1
WAP_129,9,2412,1
WAP_130,10,2412,1
WAP_131,8,5280,1
WAP_132,9,5280,1
WAP_133,10,5280,1
WAP_134,8,2437,1
WAP_135,9,2437,1
WAP_136,10,2437,1
WAP_137,17,2437,0
WAP_138,18,2412,0
WAP_139,10,2412,1
WAP_140,8,5580,1
WAP_141,9,5580,1
WAP_142,10,5580,1
WAP_143,10,2412,1
WAP_144,8,5260,1
WAP_145,9,5260,1
WAP_146,10,5260,1
WAP_147,19,2452,0
WAP_148,17,2452,0
WAP_149,20,2472,0
WAP_150,5,5220,1
WAP_151,4,2412,1
WAP_152,21,2437,0
WAP_153,22,2437,0
WAP_154,10,2462,1
WAP_155,8,5500,1
WAP_156,9,5500,1
WAP_157,10,5500,1
WAP_158,23,2412,0
WAP_159,23,5180,0
WAP_160,24,2412,0
WAP_161,24,5180,0
WAP_162,8,2462,1
WAP_163,9,2462,1
WAP_164,10,2462,1
WAP_165,8,5680,1
WAP_166,9,5680,1
WAP_167,10,5680,1
WAP_168,8,2462,1
WAP_169,9,2462,1
WAP_170,10,2462,1
WAP_171,8,5520,1
WAP_172,9,5520,1
WAP_173,10,5520,1
WAP_174,8,2412,1
WAP_175,9,2412,1
WAP_176,10,2412,1
WAP_177,8,5240,1
WAP_178,9,5240,1
WAP_179,10,5240,1
WAP_180,10,2462,1
WAP_181,9,5560,1
WAP_182,10,5560,1
WAP_183,8,2437,1
WAP_184,9,2437,1
WAP_185,10,2437,1
WAP_186,8,2437,1
WAP_187,9,2437,1
WAP_188,10,2437,1
WAP_189,8,5580,1
WAP_190,9,5580,1
WAP_191,10,5580,1
WAP_192,8,2412,1
WAP_193,9,2412,1
WAP_194,10,2412,1
WAP_195,8,5560,1
WAP_196,9,5560,1
WAP_197,10,5560,1
WAP_198,8,2437,1
WAP_199,9,2437,1
WAP_200,10,2437,1
WAP_201,8,5300,1
WAP_202,9,5300,1
WAP_203,10,5300,1
WAP_204,10,2437,1
WAP_205,10,5560,1
WAP_206,8,2437,1
WAP_207,9,2437,1
WAP_208,10,2437,1
WAP_209,8,5540,1
WAP_210,9,5540,1
WAP_211,10,5540,1
WAP_212,9,2462,1
WAP_213,10,2462,1
WAP_214,9,2437,1
WAP_215,10,2437,1
WAP_216,8,5560,1
WAP_217,9,5560,1
WAP_218,10,5560,1
WAP_219,25,2472,0
WAP_220,26,2437,0
